Date,Open,High,Low,Close,Adj Close,Volume
2018-12-20,45.400002,46.770000,45.330002,46.040001,46.040001,43969900
2018-12-21,45.590000,46.529999,44.930000,45.119999,45.119999,55577900
2018-12-24,44.470001,45.099998,43.599998,43.599998,43.599998,18049900
2018-12-26,43.840000,45.590000,43.020000,45.590000,45.590000,27770000
2018-12-27,44.720001,45.529999,43.849998,45.529999,45.529999,27005300
2018-12-28,45.680000,46.430000,45.529999,45.779999,45.779999,23635000
2018-12-31,45.980000,46.480000,45.570000,46.080002,46.080002,16544500
2019-01-02,45.529999,46.950001,45.410000,46.939999,46.939999,20295200
2019-01-03,46.650002,47.349998,46.369999,46.570000,46.570000,22262000
2019-01-04,47.419998,48.110001,47.200001,47.950001,47.950001,23343600
2019-01-07,47.779999,48.230000,47.540001,47.639999,47.639999,21858000
2019-01-08,47.900002,48.160000,46.919998,47.540001,47.540001,19702900
2019-01-09,47.509998,47.980000,47.080002,47.799999,47.799999,18837700
2019-01-10,47.500000,48.049999,47.310001,47.750000,47.750000,16208400
2019-01-11,47.500000,48.090000,47.180000,47.869999,47.869999,20006900
